date,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million_pop,total_deaths_per_million_pop,total_tests,total_tests_per_million_pop
22/01/2020,Afghanistan,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Albania,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Algeria,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Andorra,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Angola,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Argentina,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Armenia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Australia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Austria,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Bahamas,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Bahrain,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Bangladesh,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Barbados,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Belarus,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Belgium,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Belize,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Benin,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Bhutan,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Bolivia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Brazil,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Brunei ,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Bulgaria,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,CAR,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Cambodia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Cameroon,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Canada,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Chad,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Chile,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,China,548,0,17,11,28,0,0,0.383762931,0.011905054,0,0
22/01/2020,Colombia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Congo,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Costa Rica,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Croatia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Cuba,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Cyprus,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Czechia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Denmark,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Diamond Princess,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Djibouti,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Dominica,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Ecuador,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Egypt,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,El Salvador,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Eritrea,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Estonia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Eswatini,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Ethiopia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Fiji,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Finland,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,France,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Gabon,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Gambia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Georgia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Germany,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Ghana,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Greece,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Grenada,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Guatemala,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Guinea,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Guyana,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Haiti,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Honduras,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Hungary,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Iceland,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,India,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Indonesia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Iran,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Iraq,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Ireland,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Israel,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Italy,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Ivory Coast,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Jamaica,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Japan,2,0,0,0,0,0,0,0.015357354,0,0,0
22/01/2020,Jordan,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Kenya,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Kuwait,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Latvia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Lebanon,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Liberia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Lithuania,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Luxembourg,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Madagascar,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Malaysia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Maldives,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Malta,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Mauritania,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Mauritius,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Mexico,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Moldova,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Monaco,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Mongolia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Montenegro,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Morocco,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Mozambique,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Namibia,0,0,0,0,0,0,0,0,0,0,0
22/01/2020,Nepal,0,0,0,0,0,0,0,0,0,0,0
